CONFIGURATION: d1
MATRIX ELEMENTS: U2
2H	2H	-6.7377166307900926e-01
2H	2P	7.9282496717209183e-01
2H	2D1	-1.3540064007726600e+00
2H	2D2	2.9546842014263941e-01
2H	2F	3.3688583153950463e-01
2H	2G	1.7505101297295353e+00
MATRIX ELEMENTS: V11
4P	4P	5.7735026918962573e-01
4P	2P	1.3662601021279464e+00
4P	2D1	-1.2649110640673518e+00
4F	4F	2.1602468994692865e+00
4F	2D1	-1.1832159566199232e+00
4F	2D2	1.2909944487358056e+00
4F	2F	6.8313005106397318e-01
4F	2G	-1.7320508075688772e+00
2P	2P	3.6514837167011072e-01
2P	2D1	-5.9160797830996159e-01
2P	2D2	1.1618950038622251e+00
2P	4P	-1.3662601021279464e+00
2D1	2D1	6.1237243569579447e-01
2D1	2D2	-9.3541434669348533e-01
2D1	2F	1.1832159566199232e+00
2D1	4P	-1.2649110640673518e+00
2D1	4F	-1.1832159566199232e+00
2D1	2P	5.9160797830996159e-01
2D2	2D2	-2.0412414523193151e-01
2D2	2F	2.5819888974716110e-01
2D2	4F	1.2909944487358056e+00
2D2	2P	-1.1618950038622251e+00
2D2	2D1	-9.3541434669348533e-01
2F	2F	-3.4156502553198659e-01
2F	2G	-8.6602540378443860e-01
2F	4F	-6.8313005106397318e-01
2F	2D1	-1.1832159566199232e+00
2F	2D2	-2.5819888974716110e-01
2G	2G	9.0000000000000002e-01
2G	2H	1.6248076809271921e+00
2G	4F	-1.7320508075688772e+00
2G	2F	8.6602540378443860e-01
2H	2H	8.1240384046359604e-01
2H	2G	-1.6248076809271921e+00
#
CONFIGURATION: d4
MATRIX ELEMENTS: U2
5D	5D	-1.0000000000000000e+00
3P1	3P1	-3.0550504633038933e-01
3P1	3P2	3.2659863237109038e-01
3P1	3D	-1.0327955589886444e+00
3P1	3F1	3.2659863237109038e-01
3P1	3F2	6.5319726474218076e-01
3P2	3P2	8.2922798289677102e-01
3P2	3D	-5.5205244747388338e-01
3P2	3F1	9.6015871703836642e-01
3P2	3F2	3.4914862437758781e-01
3P2	3P1	3.2659863237109038e-01
3D	3D	1.4285714285714285e-01
3D	3F1	-6.7612340378281321e-01
3D	3F2	6.7612340378281321e-01
3D	3G	9.8974331861078702e-01
3D	3P1	1.0327955589886444e+00
3D	3P2	5.5205244747388338e-01
3F1	3F1	1.6329931618554519e-01
3F1	3F2	1.1430952132988164e+00
3F1	3G	-1.2421180068162376e+00
3F1	3H	9.1547541643412689e-01
3F1	3P1	3.2659863237109038e-01
3F1	3P2	9.6015871703836642e-01
3F1	3D	6.7612340378281321e-01
3F2	3F2	8.9814623902049862e-01
3F2	3G	-2.0701966780270628e-01
3F2	3H	9.1547541643412689e-01
3F2	3P1	6.5319726474218076e-01
3F2	3P2	3.4914862437758781e-01
3F2	3D	-6.7612340378281321e-01
3F2	3F1	1.1430952132988164e+00
3G	3G	-2.0101781827814696e-01
3G	3H	-1.2282391577259815e+00
3G	3D	9.8974331861078702e-01
3G	3F1	1.2421180068162376e+00
3G	3F2	2.0701966780270628e-01
3H	3H	5.2190128605029551e-01
3H	3F1	9.1547541643412689e-01
3H	3F2	9.1547541643412689e-01
3H	3G	1.2282391577259815e+00
1S1	1D1	1.0954451150103324e+00
1S2	1D1	7.1713716560063612e-01
1S2	1D2	6.7612340378281321e-01
1D1	1D1	-1.4285714285714285e-01
1D1	1D2	-1.2121830534626528e+00
1D1	1G1	2.5555062599997597e-01
1D1	1G2	1.6951310827647228e+00
