# In this table 2F10 is substituted by 2F0 and 2G10 by 2G0
f1
3H1	2K	-1	-2 1 0 0 -1
3H1	2L	1	-2 0 -1 0 -1 0 1
3H2	4D	1	1 -4 0 -1
3H2	4F	-1	-1 1 -1
3H2	4G	1	-1 -2 0 -1 -1 1
3H2	4I	-1	0 -4 -1 1 -1 1
3H2	2D1	1	8 -4 0 -2
3H2	2D2	1	-4 3 0 -2 -1
3H2	2F2	-1	-5 1 -1 0 -1
3H2	2G1	1	6 -2 0 -2 -1 1
3H2	2G2	1	-5 3 -1 -2
3H2	2H2	-1	-4 0 -1
3H2	2I	-1	7 -4 -1 0 -1 1
3H2	2K	-1	-4 1 0 0 -1
3H2	2L	1	-4 0 -1 0 -1 0 1
3H3	4D	-1	0 -4 0 0 0 1
3H3	4G	1	4 -2 0 0 -1
3H3	4I	1	1 -4 1 0 -1
3H3	2D1	-1	-3 -4 2 -1 0 1
3H3	2D2	-1	-3 1 0 -1 -1 1
3H3	2F2	0	
3H3	2G1	1	1 -2 2 -1 -1
3H3	2G2	1	2 1 -1 -1 0 -1
3H3	2H1	1	-3
3H3	2H2	-1	-3 0 -1 -1 0 -1 2
3H3	2I	1	-2 -4 3 -1 -1
3H3	2K	1	-1 1 0 -1 1 -1
3H3	2L	1	-1 0 1 -1 -1 -1 1
3H4	4D	-1	1 -3 0 -1 0 1
3H4	4G	-1	1 1 0 -1 -1
3H4	4I	-1	0 -3 1 1 -1
3H4	2D1	1	2 -3 0 -2 0 1
3H4	2D2	-1	-4 0 2 -2 -1 1
3H4	2F2	-1	-5 0 1 0 -1 1
3H4	2G1	1	2 1 0 -2 -1
3H4	2G2	1	-5 0 -1 -2 0 -1 0 2
3H4	2H2	1	-4 5 -1 0 0 -1
3H4	2I	1	1 -3 1 0 -1
3H4	2K	1	-4 0 0 0 -1 -1
3H4	2L	1	-4 1 1 0 -1 -1 1
3I1	4F	-1	-3 -1 0 1
3I1	4G	-1	-3 0 0 0 -1
3I1	4I	-1	0 -1 0 0 -1
3I1	2F2	1	-3 -1 0 1 -1
3I1	2G1	1	2 0 0 -1 -1
3I1	2G2	-1	-3 1 1 -1 0 -1
3I1	2H1	1	1 -2
3I1	2H2	-1	-1 -2 1 -1 0 -1
3I1	2I	1	5 -1 0 -1 -1
3I1	2K	-1	-2 1 1 -1 -1 -1 1
3I1	2L	-1	-2 1 0 -1 0 -1 1
3I2	4G	-1	3 -1 0 0 -1
3I2	4I	1	0 0 0 0 -1
3I2	2F2	1	-3 0 0 1 -1
3I2	2G1	1	4 -1 0 -1 -1
3I2	2G2	1	-3 0 3 -1 0 -1
3I2	2H2	1	-1 1 1 -1 0 -1
3I2	2I	-1	1 0 0 -1 -1
3I2	2K	1	-4 0 3 -1 -1 -1 1
3I2	2L	-1	-4 2 0 -1 0 -1 1
3K1	4G	-1	4 -2 0 0 -1
3K1	4I	1	0 -2 0 0 -1 0 1
3K1	2G1	-1	1 -2 2 -1 -1
3K1	2G2	-1	2 1 -1 -1 0 -1
3K1	2H1	1	-3
3K1	2H2	1	-1 0 -1 -1 2 -1
3K1	2I	1	-3 -2 2 -1 -1 0 1
3K1	2K	-1	-4 0 0 -1 0 -1 1
3K1	2L	1	-4 0 0 -1 0 -1 1 1
3K2	4G	-1	0 -2 0 0 -1 0 1
3K2	4I	-1	4 -2 0 0 -1
3K2	2G1	1	1 -2 0 -1 -1 0 1
3K2	2G2	-1	0 1 -1 -1 0 -1 1
3K2	2H2	-1	1 0 -1 -1 0 -1 1
3K2	2I	1	5 -2 0 -1 -1
3K2	2K	1	-2 0 0 -1 2 -1
3K2	2L	1	-2 0 0 -1 0 -1 0 1
3L	4I	-1	0 -1
3L	2H1	1	-3
3L	2H2	-1	-1 0 1 -1 0 -1
3L	2I	-1	-3 -1 2 -1
3L	2K	-1	-4 1 1 -1 0 -1 0 1
3L	2L	1	-4 0 0 -1 0 0 0 1
3M	4I	-1	0 -1
3M	2I	1	1 -1 0 -1
3M	2K	-1	-4 1 1 -1
3M	2L	-1	-4 0 0 1
1S1	2F1	1	
1S2	2F2	1	
1D1	2P	1	-1 1 -1 -1
1D1	2D1	1	2 1 -1 -2
1D1	2D2	-1	-2 2 -1 -2 1
1D1	2F1	1	-2 -1 1
1D1	2F2	-1	-3 -1 -1 0 1
1D1	2G1	-1	-2 2 -1 -2 1
1D1	2G2	-1	-3 1 -2 -2 0 1
1D1	2H1	1	0 -2 -1 -1 1
1D1	2H2	1	-2 -2 -2 0 1 1
1D2	2P	-1	3 2 -1 -2
1D2	2D1	1	8 0 -1 -3
1D2	2D2	1	-6 3 -1 -3 1
1D2	2F2	1	-7 0 -1 -1 1
1D2	2G1	-1	4 1 -1 -3 1
1D2	2G2	1	-7 2 -2 -3 0 1
1D2	2H1	-1	4 -1 -1 -2 1
1D2	2H2	-1	-6 -1 -2 -1 1 1
1D3	2P	1	-2 0 0 -2 1
1D3	2D1	1	-3 4 0 -3 1
1D3	2D2	1	-3 1 2 -3
1D3	2F2	1	0 0 0 -1
1D3	2G1	1	1 3 0 -3
1D3	2G2	-1	0 0 -1 -3 1 1
1D3	2H1	-1	-3 3 0 -2
1D3	2H2	1	-3 1 -1 -1 0 1
1D4	2D2	-1	-6 0 0 0 0 1
